,Object Begin Date,Historical Period,height,diam,width,depth,num_period,medium_num,classif_num,culture_num
9386,-199,Antiquity,7.1,-1.0,10.8,-1.0,4.0,3.0460615153788453,2.533376226475792,2.1368655657988045
1099,-800,Antiquity,-1.0,3.7,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,4.0
4932,-150,Antiquity,2.9,-1.0,9.2,-1.0,4.0,3.8754961630060873,3.993417115499701,3.9059653916211294
12404,-300,Antiquity,2.7,-1.0,2.2,-1.0,4.0,3.0460615153788453,2.533376226475792,3.3018018018018016
4063,100,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.1190476190476186,2.533376226475792,3.8412698412698414
11186,-900,Antiquity,1.5,-1.0,2.59,2.79,4.0,3.655913978494624,2.533376226475792,3.981916817359856
3085,1,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
3131,1,Antiquity,5.4,-1.0,7.8,-1.0,4.0,2.9278826838087584,2.533376226475792,3.7804878048780486
7593,1,Antiquity,1.1,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
8978,-675,Antiquity,6.7,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,4.0
10949,1,Antiquity,11.8,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
9423,300,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.3641912512716177
12396,399,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,2.20310116929334,2.533376226475792,3.8495575221238933
546,-6500,Antiquity,-1.0,2.4,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,4.0
13051,-1050,Antiquity,13.6,-1.0,10.7,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9306358381502884
11828,175,Antiquity,8.3,-1.0,-1.0,-1.0,4.0,2.431484115694642,1.8487972508591064,1.8719351188230855
6540,-500,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,2.9278826838087584,2.533376226475792,3.6271186440677967
5102,-1600,Antiquity,4.5,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,4.0
12979,200,Antiquity,-1.0,4.1,-1.0,-1.0,4.0,2.0835561497326203,2.533376226475792,1.8158293277144928
7306,0,Antiquity,4.7,-1.0,2.7,0.4,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
4955,-520,Antiquity,10.0,-1.0,7.7,0.6,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
7176,-900,Antiquity,1.5,-1.0,7.8,-1.0,4.0,2.431484115694642,2.533376226475792,3.981916817359856
13113,-600,Antiquity,10.5,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.993417115499701,3.99710843373494
7418,-1400,Antiquity,9.0,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,4.0
5584,100,Antiquity,-1.0,11.5,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
1434,-1046,Antiquity,21.0,-1.0,8.9,-1.0,4.0,3.0460615153788453,2.533376226475792,2.1368655657988045
8689,300,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
12914,-1800,Antiquity,11.2,-1.0,5.9,1.0,4.0,2.9278826838087584,4.0,4.0
5508,-525,Antiquity,-1.0,3.1,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9059653916211294
6671,-460,Antiquity,33.0,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
3833,0,Antiquity,24.4,-1.0,30.0,-1.0,4.0,1.6005762179151388,1.5754518705338378,2.1368655657988045
7515,-599,Antiquity,10.8,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
5789,-299,Antiquity,6.5,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.993417115499701,3.99710843373494
7147,1,Antiquity,34.3,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
3102,-7,Antiquity,2.5,-1.0,4.4,-1.0,4.0,3.0460615153788453,2.533376226475792,3.981916817359856
7182,-75,Antiquity,-1.0,17.7,-1.0,-1.0,4.0,2.20310116929334,3.995565410199557,3.9941093308199815
10678,-285,Antiquity,-1.0,6.8,-1.0,-1.0,4.0,2.20310116929334,2.533376226475792,4.0
579,300,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.3641912512716177
12505,-1000,Antiquity,-1.0,3.8,-1.0,-1.0,4.0,3.145038167938931,2.533376226475792,3.981916817359856
13139,-499,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.9956568946796964
10034,100,Antiquity,-1.0,1.1,-1.0,-1.0,4.0,3.08715953307393,3.0804206161137437,3.9941093308199815
5288,-100,Antiquity,-1.0,-1.0,-1.0,18.4,4.0,3.0460615153788453,3.998734977862112,4.0
12277,-3900,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.99710843373494
12859,-350,Antiquity,30.7,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
12580,-600,Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,2.9278826838087584,2.533376226475792,4.0
