,Medium,Classification,Culture,Object Begin Date,Historical Period,height,diam,width,depth
5888,terracotta,Vases,Egyptian,-1600,Antiquity,16.0,-1.0,-1.0,-1.0
2416,bronze,Bronzes,Egyptian,-664,Antiquity,-1.0,6.7,-1.0,-1.0
5991,terracotta,Vases,Greek,-650,Antiquity,15.9,-1.0,14.1,-1.0
1595,gold,Gold,Roman,200,Antiquity,-1.0,18.7,-1.0,-1.0
5574,gold,Gold,Cypriot,-1600,Antiquity,-1.0,3.7,-1.0,-1.0
11360,"alloy,copper",Metalwork,Bactria-Margiana,-2300,Antiquity,-1.0,19.51,-1.0,-1.0
2780,gold,Ivory/Bone,Assyrian,-900,Antiquity,5.8,-1.0,11.3,1.1
11502,"glass,gold",Glass,Roman,200,Antiquity,-1.0,2.1,-1.0,-1.0
12672,terracotta,Terracottas,Greek,-299,Antiquity,27.6,-1.0,-1.0,-1.0
1381,terracotta,Vases,Cypriot,-3200,Antiquity,8.9,-1.0,-1.0,-1.0
7896,terracotta,Terracottas,Roman,300,Antiquity,3.3,-1.0,5.2,-1.0
5551,bronze,Metalwork,Sasanian,200,Antiquity,0.89,-1.0,1.91,-1.0
11240,gold,Gold,Roman,1,Antiquity,-1.0,2.5,-1.0,-1.0
9636,bronze,Metalwork,Northern,-475,Antiquity,6.4,-1.0,4.8,-1.0
7779,gold,Gold,Etruscan,-699,Antiquity,1.3,-1.0,0.9,2.1
5434,terracotta,Vases,Roman,-99,Antiquity,4.0,-1.0,4.4,0.7
9791,terracotta,Vases,Greek,-450,Antiquity,31.7,-1.0,-1.0,-1.0
1352,"bronze,copper",Metalwork,Iran,-900,Antiquity,-1.0,-1.0,-1.0,-1.0
10177,terracotta,Vases,Greek,-440,Antiquity,-1.0,-1.0,-1.0,-1.0
4351,glass,Glass,Sasanian,200,Antiquity,-1.0,-1.0,-1.0,-1.0
5475,"bronze,gilt",Sculpture,China,367,Antiquity,16.5,-1.0,7.0,-1.0
1602,terracotta,Terracottas,Greek,-299,Antiquity,23.5,-1.0,-1.0,-1.0
1548,"copper,gilt",Metal,Vicús,-300,Antiquity,-1.0,-1.0,-1.0,-1.0
2232,terracotta,Vases,Greek,-470,Antiquity,12.7,-1.0,-1.0,-1.0
8087,glass,Glass,Roman,0,Antiquity,4.1,-1.0,4.0,0.4
3499,"alloy,copper",Metalwork,Halstatt,-699,Antiquity,4.9,-1.0,1.7,1.5
1852,terracotta,Vases,Cypriot,-1050,Antiquity,16.2,-1.0,-1.0,-1.0
4620,silk,Textiles,Japan,0,Antiquity,9.5,-1.0,4.8,-1.0
8547,terracotta,Vases,Greek,-399,Antiquity,22.2,-1.0,31.8,-1.0
11032,"alloy,copper",Metalwork,Roman,1,Antiquity,6.4,-1.0,5.3,1.4
2210,glass,Glass,Roman,100,Antiquity,2.7,-1.0,8.1,14.3
8085,glass,Gems,Roman,-99,Antiquity,1.0,-1.0,1.2,0.2
4554,gold,Metalwork,Iran,-800,Antiquity,13.0,-1.0,22.5,-1.0
11132,copper,Metalwork,India,-1500,Antiquity,29.2,-1.0,9.8,-1.0
12372,bronze,Bronzes,Roman,-670,Antiquity,-1.0,14.9,-1.0,-1.0
3187,terracotta,Vases,Cypriot,-1450,Antiquity,12.4,-1.0,16.99,-1.0
9247,terracotta,Terracottas,Greek,-399,Antiquity,-1.0,6.9,-1.0,-1.0
1361,terracotta,Vases,Minoan,-2600,Antiquity,5.0,-1.0,3.9,0.5
5817,terracotta,Vases,Greek,-520,Antiquity,9.2,-1.0,5.4,-1.0
422,glass,Glass,Roman,200,Antiquity,-1.0,2.9,-1.0,-1.0
6858,bronze,Bronzes,Cypriot,-699,Antiquity,9.1,-1.0,-1.0,-1.0
4750,copper,Metalwork,India,-1500,Antiquity,27.0,-1.0,14.3,-1.0
12804,glass,Glass,Coptic,300,Antiquity,-1.0,-1.0,-1.0,-1.0
3319,terracotta,Terracottas,Cypriot,-399,Antiquity,4.3,-1.0,11.8,-1.0
4883,silver,Miscellaneous,Etruscan,-699,Antiquity,15.2,-1.0,-1.0,-1.0
855,gold,Metalwork,Scythian,-500,Antiquity,-1.0,-1.0,-1.0,-1.0
10919,bronze,Coins,Roman,97,Antiquity,2.6,-1.0,0.4,-1.0
3039,silver,Metalwork,Parthian,50,Antiquity,-1.0,0.9,-1.0,-1.0
686,terracotta,Vases,Mycenaean,-1600,Antiquity,9.7,-1.0,-1.0,-1.0
6219,ink,Ceramics,Coptic,300,Antiquity,7.2,-1.0,7.0,0.9
1354,gold,Gold,Greek,-299,Antiquity,1.8,-1.0,0.9,2.1
