Historical Period,height,diam,width,depth,num_period,medium_num,classif_num,culture_num
Antiquity,7.1,-1.0,10.8,-1.0,4.0,3.0460615153788453,2.533376226475792,2.1368655657988045
Antiquity,-1.0,3.7,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,4.0
Antiquity,2.9,-1.0,9.2,-1.0,4.0,3.8754961630060873,3.993417115499701,3.9059653916211294
Antiquity,2.7,-1.0,2.2,-1.0,4.0,3.0460615153788453,2.533376226475792,3.3018018018018016
Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.119047619047618,2.533376226475792,3.8412698412698414
Antiquity,1.5,-1.0,2.59,2.79,4.0,3.655913978494624,2.533376226475792,3.981916817359856
Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.080420616113744,3.9941093308199815
Antiquity,5.4,-1.0,7.8,-1.0,4.0,2.9278826838087584,2.533376226475792,3.7804878048780486
Antiquity,1.1,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.080420616113744,3.9941093308199815
Antiquity,6.7,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,4.0
Antiquity,11.8,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.080420616113744,3.9941093308199815
Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.080420616113744,3.3641912512716177
Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,2.20310116929334,2.533376226475792,3.849557522123893
Antiquity,-1.0,2.4,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,4.0
Antiquity,13.6,-1.0,10.7,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.930635838150288
Antiquity,8.3,-1.0,-1.0,-1.0,4.0,2.431484115694642,1.8487972508591064,1.8719351188230853
Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,2.9278826838087584,2.533376226475792,3.6271186440677967
Antiquity,4.5,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,4.0
Antiquity,-1.0,4.1,-1.0,-1.0,4.0,2.0835561497326203,2.533376226475792,1.8158293277144928
Antiquity,4.7,-1.0,2.7,0.4,4.0,3.08715953307393,3.080420616113744,3.9941093308199815
Antiquity,10.0,-1.0,7.7,0.6,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
Antiquity,1.5,-1.0,7.8,-1.0,4.0,2.431484115694642,2.533376226475792,3.981916817359856
Antiquity,10.5,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.993417115499701,3.99710843373494
Antiquity,9.0,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,4.0
Antiquity,-1.0,11.5,-1.0,-1.0,4.0,3.08715953307393,3.080420616113744,3.9941093308199815
Antiquity,21.0,-1.0,8.9,-1.0,4.0,3.0460615153788453,2.533376226475792,2.1368655657988045
Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.080420616113744,3.9941093308199815
Antiquity,11.2,-1.0,5.9,1.0,4.0,2.9278826838087584,4.0,4.0
Antiquity,-1.0,3.1,-1.0,-1.0,4.0,3.08715953307393,3.080420616113744,3.9059653916211294
Antiquity,33.0,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
Antiquity,24.4,-1.0,30.0,-1.0,4.0,1.6005762179151388,1.5754518705338378,2.1368655657988045
Antiquity,10.8,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
Antiquity,6.5,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.993417115499701,3.99710843373494
Antiquity,34.3,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.080420616113744,3.9941093308199815
Antiquity,2.5,-1.0,4.4,-1.0,4.0,3.0460615153788453,2.533376226475792,3.981916817359856
Antiquity,-1.0,17.7,-1.0,-1.0,4.0,2.20310116929334,3.995565410199557,3.9941093308199815
Antiquity,-1.0,6.8,-1.0,-1.0,4.0,2.20310116929334,2.533376226475792,4.0
Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.080420616113744,3.3641912512716177
Antiquity,-1.0,3.8,-1.0,-1.0,4.0,3.145038167938931,2.533376226475792,3.981916817359856
Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.995656894679696
Antiquity,-1.0,1.1,-1.0,-1.0,4.0,3.08715953307393,3.080420616113744,3.9941093308199815
Antiquity,-1.0,-1.0,-1.0,18.4,4.0,3.0460615153788453,3.998734977862112,4.0
Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.99710843373494
Antiquity,30.7,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,2.9278826838087584,2.533376226475792,4.0
Antiquity,7.3,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9941093308199815
Antiquity,10.0,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.99710843373494
Antiquity,-1.0,14.9,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
Antiquity,3.8,-1.0,8.3,-1.0,4.0,1.981003799240152,1.9660783101003847,2.1368655657988045
Antiquity,10.8,-1.0,13.34,-1.0,4.0,1.854214876033058,1.9660783101003847,4.0
Antiquity,-1.0,-1.0,-1.0,45.7,4.0,3.0460615153788453,2.533376226475792,2.1368655657988045
Antiquity,1.1,-1.0,0.4,-1.0,4.0,2.9278826838087584,3.995565410199557,3.99710843373494
Antiquity,-1.0,4.5,-1.0,-1.0,4.0,3.0460615153788453,2.533376226475792,3.981916817359856
Antiquity,3.25,-1.0,3.76,-1.0,4.0,3.2165551839464883,3.1944444444444446,4.0
Antiquity,-1.0,4.1,-1.0,-1.0,4.0,3.08715953307393,3.080420616113744,3.9941093308199815
Antiquity,20.6,-1.0,15.2,-1.0,4.0,3.8754961630060873,3.993417115499701,4.0
Antiquity,9.2,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.9059653916211294
Antiquity,19.3,24.0,-1.0,-1.0,4.0,2.1510791366906474,2.0561683195847618,1.8158293277144928
Antiquity,-1.0,15.7,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
Antiquity,-1.0,15.9,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
Antiquity,-1.0,9.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,4.0
Antiquity,62.9,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
Antiquity,17.6,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.995656894679696
Antiquity,-1.0,11.3,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,4.0
Antiquity,-1.0,2.31,-1.0,-1.0,4.0,3.2165551839464883,2.533376226475792,4.0
Antiquity,3.8,-1.0,8.9,-1.0,4.0,3.8754961630060873,3.993417115499701,3.9941093308199815
Antiquity,6.3,-1.0,4.5,-1.0,4.0,3.8754961630060873,2.3928881179531656,2.5593719332679097
Antiquity,2.9,-1.0,7.3,-1.0,4.0,3.8754961630060873,3.993417115499701,3.9941093308199815
Antiquity,2.3,-1.0,3.3,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.5454545454545454
Antiquity,17.5,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
Antiquity,14.3,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.080420616113744,3.9059653916211294
Antiquity,7.6,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.9059653916211294
Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,1.854214876033058,1.9660783101003847,3.69811320754717
Antiquity,9.6,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.9059653916211294
Antiquity,6.3,-1.0,-1.0,-1.0,4.0,2.1820083682008367,3.995565410199557,3.9059653916211294
Antiquity,1.6,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.080420616113744,4.0
Antiquity,-1.0,2.21,-1.0,-1.0,4.0,2.20310116929334,2.533376226475792,4.0
Antiquity,32.6,-1.0,-1.0,-1.0,4.0,3.08715953307393,3.080420616113744,3.9941093308199815
Antiquity,38.7,-1.0,14.9,12.7,4.0,3.8754961630060873,3.993417115499701,3.9059653916211294
Antiquity,10.9,-1.0,9.2,-1.0,4.0,3.08715953307393,3.080420616113744,3.3641912512716177
Antiquity,3.8,-1.0,5.7,-1.0,4.0,3.8754961630060873,2.0561683195847618,3.9
Antiquity,28.4,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
Antiquity,-1.0,2.4,-1.0,-1.0,4.0,3.08715953307393,3.080420616113744,3.9059653916211294
Antiquity,7.0,-1.0,-1.0,-1.0,4.0,3.0460615153788453,3.998734977862112,3.995656894679696
Antiquity,40.5,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
Antiquity,-1.0,-1.0,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
Antiquity,7.0,-1.0,6.7,1.3,4.0,3.8754961630060873,2.0561683195847618,3.9
Antiquity,-1.0,19.4,-1.0,-1.0,4.0,3.8754961630060873,3.9998039600078417,3.9059653916211294
